;;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand
;;31.12.2010;31.12.2009;31.12.2008;31.12.2007;31.12.2006;31.12.2005;31.12.2004;31.12.2003;31.12.2002;31.12.2001;31.12.2000;31.12.1999;31.12.1998;31.12.1997;31.12.1996;31.12.1995;31.12.1994;31.12.1993;31.12.1992;31.12.1991;31.12.1990;31.12.1989;31.12.1988;31.12.1987;31.12.1986;31.12.1985;31.12.1984;31.12.1983;31.12.1982;31.12.1981;31.12.1980;31.12.1979;31.12.1978;31.12.1977;31.12.1976;31.12.1975;31.12.1974;31.12.1973;31.12.1972;31.12.1971;31.12.1970;31.12.1969;31.12.1968;31.12.1967;31.12.1966;31.12.1965;31.12.1964;31.12.1963;31.12.1962
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
05154032;      Kevelaer, Stadt;28328;28251;28296;28168;28020;27867;27928;27824;27591;27319;27060;26788;26537;26332;26090;25737;25384;25143;24832;23981;23309;22921;22633;22536;22351;22242;22067;21915;21800;21748;21611;21412;21219;21105;20994;20969;20872;20756;20629;20446;20555;20427;20327;20222;20048;19868;19651;19461;19263
05154036;      Kleve, Stadt;49477;49392;49312;49254;49124;49099;49249;49105;49160;49031;48662;48647;48543;48660;48672;48344;48136;47869;47160;46450;45963;45235;44416;44233;44724;44548;44224;44059;43954;44125;44022;44047;43930;43993;43894;44041;44025;43703;43481;43606;43640;43366;43221;42987;42641;42112;41763;41342;40933
05154040;      Kranenburg;9963;9963;9909;9927;9844;9845;9703;9670;9545;9457;9282;9206;9033;8900;8674;8526;8359;8292;8188;8093;7957;7875;7791;7767;7928;7882;7868;7822;7783;7821;7842;7868;7899;7840;7872;7860;7853;7810;7875;7815;7801;7776;7715;7608;7432;7290;7266;7206;7064
05154044;      Rees, Stadt;22267;22432;22465;22577;22578;22559;22502;22374;22211;21995;21618;21412;21061;20752;20460;20010;19743;19556;19488;19028;18616;18447;18315;18245;17869;17794;17663;17658;17548;17518;17453;17215;16994;16906;16809;16665;16569;16456;16336;16220;16033;16030;15954;15796;15680;15482;15417;15197;15011
05154048;      Rheurdt;6736;6769;6716;6741;6713;6651;6660;6597;6526;6474;6433;6411;6325;6158;6092;5983;5851;5794;5823;5667;5511;5508;5455;5425;5622;5617;5784;5768;5677;5648;5604;5608;5560;5573;5532;5508;5477;5441;5333;5198;5108;5009;4843;4707;4555;4429;4362;4348;4337
05154052;      Straelen, Stadt;15374;15460;15655;15710;15568;15580;15392;15361;15401;15337;15389;15337;15205;14933;14758;14511;14239;13957;13660;13262;12927;12725;12517;12352;12396;12210;12151;12038;11923;11821;11544;11368;11109;10930;10725;10757;10729;10808;10717;10775;10704;10707;10739;10732;10701;10615;10551;10493;10282
05154056;      Uedem;8218;8260;8409;8457;8468;8458;8474;8501;8385;8353;8330;8200;8087;8002;7932;7733;7558;7326;7156;6985;6822;6734;6681;6626;6474;6485;6427;6445;6440;6397;6397;6332;6282;6350;6444;6496;6501;6525;6501;6530;6500;6421;6389;6296;6212;6148;6113;6110;6005
05154060;      Wachtendonk;7888;7829;7816;7815;7814;7841;7819;7745;7669;7626;7576;7489;7417;7318;7276;7185;7026;6897;6871;6631;6392;6395;6307;6234;6076;6087;6054;6031;5980;5860;5772;5726;5774;5729;5708;5749;5769;5875;5915;5925;5862;5837;5802;5738;5784;5753;5780;5782;5733
05154064;      Weeze;10682;10454;10445;10538;10419;10296;10194;10125;10126;9976;9662;9342;9261;9243;9181;9134;9147;9145;9171;8923;8570;8476;8375;8393;8680;8673;8792;8913;9039;9042;8909;8743;8695;8691;8788;8878;9004;9044;9094;9142;9075;9079;8909;8886;8884;8801;8725;8555;8465
05158;    Mettmann, Kreis;495155;496445;499193;502045;503492;504972;506061;507164;508703;509023;507699;506649;505766;504795;504522;504698;504838;506262;506892;501754;499372;493209;487011;481339;479632;477041;476003;478544;482383;483633;482957;479268;477004;474219;471470;468863;468589;463148;453145;444022;431485;415950;400289;386847;379438;370668;359275;347747;339086
